# Transit observable posteriors (photo-ring pipeline, step 1)
# Derived from a TTV-fit MCMC posterior via asterodensity profiling (Zuluaga+2015 Eq.1-4)
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.09602386 0.00922058 123.93926669 2125.15494230 130.17802962 0.30442167 89.85926902 8.44857136 6.82989699
0.09494648 0.00901483 124.72592823 2165.87838326 130.17802962 0.25739305 89.88176038 8.48589483 6.91842029
0.09398364 0.00883292 128.69174028 2379.11729523 130.17802962 0.02846382 89.98732742 8.45118101 6.99799447
0.09393141 0.00882311 128.27951849 2356.32828188 130.17802962 0.05786818 89.97415330 8.46893164 7.01001412
0.09572495 0.00916327 123.50664524 2102.97838380 130.17802962 0.31585137 89.85347371 8.44850111 6.82277507
0.09640223 0.00929339 117.98332277 1833.26691951 130.17802962 0.42002189 89.79602598 8.53674587 6.74370307
0.09429480 0.00889151 126.15092971 2240.96564828 130.17802962 0.19168307 89.91294051 8.49340088 6.97828440
0.09693904 0.00939718 117.59727575 1815.33012936 130.17802962 0.42160370 89.79458568 8.56412922 6.75366905
0.09487060 0.00900043 129.05137706 2399.11884423 130.17802962 0.08980355 89.96012933 8.40889002 6.94068868
0.09522821 0.00906841 129.63894042 2432.03740918 130.17802962 0.09965745 89.95595497 8.36696751 6.89851569
0.09415774 0.00886568 128.19804389 2351.84138529 130.17802962 0.08784911 89.96073744 8.46055006 6.99394061
0.09497362 0.00901999 125.87953778 2226.53358980 130.17802962 0.22759633 89.89640639 8.46180909 6.92026936
0.09523109 0.00906896 128.55019171 2371.27552438 130.17802962 0.18993214 89.91534580 8.34462946 6.84355003
0.09764976 0.00953548 119.08163866 1884.94307659 130.17802962 0.42804429 89.79404731 8.44122551 6.63406616
0.09563509 0.00914607 123.50577978 2102.93417484 130.17802962 0.30819261 89.85702569 8.46612550 6.84626392
0.09409071 0.00885306 128.87491496 2389.29078366 130.17802962 0.01424717 89.99366593 8.44213703 6.98980799
0.09648213 0.00930880 120.07696869 1932.60447052 130.17802962 0.38785314 89.81493215 8.49419747 6.75856020
0.09723336 0.00945433 122.88914825 2071.59300092 130.17802962 0.35550951 89.83424718 8.40055555 6.71543804
0.09461307 0.00895163 129.70977989 2436.02645143 130.17802962 0.02285008 89.98990660 8.39068628 6.93946094
0.09445774 0.00892227 127.32615338 2304.18152126 130.17802962 0.17322250 89.92205120 8.44067528 6.94223199
0.09612657 0.00924032 121.47197095 2000.74650676 130.17802962 0.35826258 89.83101482 8.48122546 6.79395759
0.09657370 0.00932648 124.19695012 2138.43781645 130.17802962 0.31382984 89.85522072 8.41349083 6.78361682
0.09420167 0.00887395 125.31265933 2196.58833073 130.17802962 0.22360138 89.89776434 8.50050549 6.96605797
0.09466065 0.00896064 126.26036454 2246.80276320 130.17802962 0.19384393 89.91203539 8.48592147 6.96557861
0.09452921 0.00893577 128.82162618 2386.32814923 130.17802962 0.11076387 89.95073573 8.40635465 6.93768326
0.09516777 0.00905690 127.45631089 2311.25500613 130.17802962 0.20628478 89.90726820 8.39227893 6.87415940
0.09567436 0.00915358 124.90369635 2175.15247334 130.17802962 0.29752825 89.86351782 8.39611746 6.79948585
0.09392727 0.00882233 126.45256972 2257.07926293 130.17802962 0.19783365 89.91036135 8.46145283 6.95394963
0.09460348 0.00894982 122.54168893 2054.07084213 130.17802962 0.29110287 89.86389137 8.56348427 6.95767631
0.09591846 0.00920035 125.50969055 2206.96582974 130.17802962 0.27759639 89.87327581 8.40053298 6.81759539
0.09503603 0.00903185 125.97497442 2231.60162617 130.17802962 0.24256517 89.88967675 8.42992838 6.88272927
0.09680240 0.00937070 123.71468686 2113.62342401 130.17802962 0.32853852 89.84784432 8.41199676 6.76311320
0.09815548 0.00963450 115.00540847 1697.92548602 130.17802962 0.48193397 89.75989944 8.53295002 6.59173097
0.09630227 0.00927413 123.44168994 2099.66209824 130.17802962 0.33768232 89.84326368 8.40288402 6.75318544
0.09530422 0.00908289 120.09382180 1933.41832294 130.17802962 0.35470019 89.83077520 8.58150340 6.89198813
0.09503025 0.00903075 122.88562020 2071.41458487 130.17802962 0.30665241 89.85702227 8.50739700 6.89052361
0.09673567 0.00935779 119.29232172 1894.96549304 130.17802962 0.39933847 89.80819846 8.51551598 6.75432065
0.09662157 0.00933573 119.10702825 1886.14900915 130.17802962 0.40608090 89.80465664 8.50551521 6.73785525
0.09489650 0.00900535 125.86844608 2225.94507765 130.17802962 0.23712263 89.89206084 8.44558659 6.90151615
0.09555003 0.00912981 123.18756317 2086.72118742 130.17802962 0.32380651 89.84939415 8.44930856 6.81767673
0.09477855 0.00898297 125.60707029 2212.10680035 130.17802962 0.23915299 89.89091008 8.45862253 6.91246221
0.09686295 0.00938243 121.30653810 1992.58317599 130.17802962 0.36536599 89.82742925 8.47883209 6.77118455
0.09644852 0.00930232 122.47568665 2050.75359541 130.17802962 0.35158179 89.83552507 8.43304251 6.75860161
0.09615211 0.00924523 122.54658749 2054.31718412 130.17802962 0.34291644 89.83967167 8.44910964 6.78656467
0.09364379 0.00876916 127.31505580 2303.57908570 130.17802962 0.10785195 89.95146323 8.50116547 7.02951303
0.09577712 0.00917326 125.91605168 2228.47170490 130.17802962 0.25636216 89.88334704 8.41439921 6.84859696
0.09620399 0.00925521 117.49665693 1810.67440551 130.17802962 0.42064676 89.79487642 8.56809370 6.77075260
0.09457945 0.00894527 126.67675201 2269.10499218 130.17802962 0.19853510 89.91020272 8.45067026 6.93516072
0.09541644 0.00910430 121.18335205 1986.51897036 130.17802962 0.34872056 89.83512385 8.52195603 6.84972996
0.09426833 0.00888652 128.29330491 2357.08807966 130.17802962 0.08578944 89.96168644 8.45639853 6.98942342
0.09500377 0.00902572 122.43982061 2048.95248154 130.17802962 0.31569437 89.85227049 8.51638204 6.88894949
0.09598254 0.00921265 122.68824239 2061.44934408 130.17802962 0.33697687 89.84263058 8.45361456 6.79975256
0.09421460 0.00887639 127.05164781 2289.31070381 130.17802962 0.16612438 89.92508379 8.46570557 6.96976556
0.09511923 0.00904767 130.10205145 2458.19463428 130.17802962 0.05841989 89.97427240 8.35916028 6.90244288
0.09360165 0.00876127 127.67958131 2323.42245466 130.17802962 0.10606687 89.95240285 8.47793052 7.01142623
0.09446589 0.00892380 127.16882452 2295.65067764 130.17802962 0.17902191 89.91934184 8.44378826 6.94176352
0.09569518 0.00915757 122.12115209 2032.99593861 130.17802962 0.33025980 89.84505128 8.50789714 6.85556237
0.09746691 0.00949980 117.41427898 1806.86863525 130.17802962 0.44380686 89.78343077 8.50163399 6.65638831
0.09483440 0.00899356 127.75492480 2327.53802425 130.17802962 0.15670103 89.92972239 8.43491699 6.93978271
0.09664599 0.00934045 118.91758053 1877.16317708 130.17802962 0.41320433 89.80091327 8.49529713 6.71805165
0.09535084 0.00909178 126.89847924 2281.04096732 130.17802962 0.21285058 89.90389605 8.42060265 6.89065142
0.09273220 0.00859926 126.78412612 2274.87991994 130.17802962 0.03049797 89.98621748 8.56809146 7.11259175
0.09522225 0.00906728 129.72341477 2436.79474579 130.17802962 0.06795794 89.96998458 8.38012484 6.91667951
0.09535673 0.00909291 127.89162701 2335.01766219 130.17802962 0.18652847 89.91643473 8.39320917 6.88342164
0.09630403 0.00927447 120.72406296 1964.01754089 130.17802962 0.36342117 89.82751963 8.52050503 6.81594885
0.09476124 0.00897969 121.91223085 2022.57981133 130.17802962 0.31380647 89.85251844 8.55579528 6.92658489
0.09403652 0.00884287 126.42043435 2255.35892699 130.17802962 0.16942707 89.92321290 8.50252651 7.00109516
0.09410531 0.00885581 129.10437184 2402.07564328 130.17802962 0.04872943 89.97837416 8.41959668 6.96803269
0.09599379 0.00921481 122.80447715 2067.31394375 130.17802962 0.33493109 89.84373402 8.45104359 6.79984986
0.09583789 0.00918490 123.32327376 2093.62534834 130.17802962 0.31428085 89.85398550 8.46581662 6.83665633
0.09515800 0.00905505 127.09954233 2291.90067660 130.17802962 0.19129640 89.91376460 8.43740596 6.91994486
0.09480698 0.00898836 130.56140928 2484.32448876 130.17802962 0.00917096 89.99597540 8.33895525 6.89456103
0.09462484 0.00895386 122.05027187 2029.45808509 130.17802962 0.29503415 89.86149783 8.58924451 6.97454842
0.09690493 0.00939057 119.03234220 1882.60310485 130.17802962 0.40551361 89.80480714 8.51528799 6.74181643
0.09611348 0.00923780 124.28329752 2142.90113768 130.17802962 0.30732098 89.85832197 8.41918914 6.80188624
0.09456181 0.00894194 128.94489556 2393.18513671 130.17802962 0.02910703 89.98706649 8.43891887 6.97963595
0.09317821 0.00868218 126.98840132 2285.89353902 130.17802962 0.09999324 89.95488414 8.52524676 7.05836739
0.09565295 0.00914949 126.75452503 2273.28690026 130.17802962 0.23630479 89.89318507 8.39404513 6.84886017
0.09580002 0.00917764 122.49581374 2051.76479580 130.17802962 0.32804904 89.84655926 8.48841905 6.84069420
0.09350538 0.00874326 126.86331702 2279.14533593 130.17802962 0.13940789 89.93703865 8.50219757 7.02157775
0.09457440 0.00894432 129.15968403 2405.16433015 130.17802962 0.07957241 89.96470134 8.40566334 6.94456107
