# Kepler-51 transit observable posteriors
# Derived from TTV-fit MCMC posterior (Kipping D.)
# Method: Kipping+2014 asterodensity profiling Eq.1-4
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.05893418 0.00347324 113.48079524 3797.89824287 85.31620000 0.93148686 89.52969254 2.89283979 0.76923947
0.05703634 0.00325314 134.46336521 6318.12394307 85.31620000 0.92875860 89.60424632 2.44648813 0.79039029
0.05703634 0.00325314 134.46336521 6318.12394307 85.31620000 0.92875860 89.60424632 2.44648813 0.79039029
0.04655732 0.00216758 159.70697318 10586.38903160 85.31620000 0.89156531 89.68014424 2.23677290 1.37892659
0.05168329 0.00267116 141.34758791 7339.07655491 85.31620000 0.91887379 89.62752841 2.35897682 1.08118154
0.05168329 0.00267116 141.34758791 7339.07655491 85.31620000 0.91887379 89.62752841 2.35897682 1.08118154
0.05187478 0.00269099 138.10398684 6845.33743727 85.31620000 0.92278517 89.61715740 2.38280848 1.02760630
0.04601336 0.00211723 134.20612759 6281.93225886 85.31620000 0.91993523 89.60725475 2.41789636 1.22680136
0.05745879 0.00330151 112.21790575 3672.50750001 85.31620000 0.92979387 89.52526405 2.92556277 0.89732010
0.05745879 0.00330151 112.21790575 3672.50750001 85.31620000 0.92979387 89.52526405 2.92556277 0.89732010
0.05273420 0.00278090 101.62015616 2727.19245532 85.31620000 0.94519141 89.46707167 2.97312802 0.40187392
0.05059160 0.00255951 126.31142360 5237.25961365 85.31620000 0.93315251 89.57671139 2.49064776 0.90269712
0.04635931 0.00214919 144.76299301 7884.04099724 85.31620000 0.90432162 89.64207600 2.36995267 1.36291891
0.04635931 0.00214919 144.76299301 7884.04099724 85.31620000 0.90432162 89.64207600 2.36995267 1.36291891
0.05232162 0.00273755 109.59493339 3420.95722592 85.31620000 0.94705667 89.50487651 2.72840765 0.20411917
0.04876789 0.00237831 124.90503712 5064.26089699 85.31620000 0.92170658 89.57719578 2.61106678 1.22711594
0.05637901 0.00317859 115.13838258 3966.76603540 85.31620000 0.94185087 89.53130589 2.70811659 0.32703766
0.06373871 0.00406262 123.08051962 4845.56223785 85.31620000 0.91838525 89.57247429 2.84246492 0.96423323
0.06373871 0.00406262 123.08051962 4845.56223785 85.31620000 0.91838525 89.57247429 2.84246492 0.96423323
0.05345708 0.00285766 117.75194809 4243.07311516 85.31620000 0.92845677 89.54822654 2.75510090 1.01932371
0.06220269 0.00386917 118.58660413 4333.94215951 85.31620000 0.92475943 89.55319279 2.87229054 0.85650300
0.04467355 0.00199573 109.39062344 3401.86053778 85.31620000 0.95466530 89.49996641 2.52763734 0.21173756
0.04467355 0.00199573 109.39062344 3401.86053778 85.31620000 0.95466530 89.49996641 2.52763734 0.21173756
0.04509986 0.00203400 160.52931651 10750.76286861 85.31620000 0.87455602 89.68785380 2.32314112 1.55662299
0.07163836 0.00513205 126.53936585 5265.66436852 85.31620000 0.92651269 89.58048042 2.77374438 0.30164669
0.07128448 0.00508148 119.70918710 4458.19086814 85.31620000 0.92684069 89.55638667 2.92509953 0.32114086
0.07128448 0.00508148 119.70918710 4458.19086814 85.31620000 0.92684069 89.55638667 2.92509953 0.32114086
0.06384551 0.00407625 122.96823103 4832.31225001 85.31620000 0.91441857 89.57393217 2.88184065 1.06305145
0.04654507 0.00216644 134.25771358 6289.17896873 85.31620000 0.92054108 89.60714710 2.41695553 1.20569588
0.04787869 0.00229237 113.06421126 3756.22574638 85.31620000 0.94590696 89.52065195 2.59934060 0.62608304
0.05663577 0.00320761 116.48614369 4107.70282888 85.31620000 0.94310922 89.53610990 2.66606090 0.12272650
0.05663577 0.00320761 116.48614369 4107.70282888 85.31620000 0.94310922 89.53610990 2.66606090 0.12272650
0.04672247 0.00218299 107.59216828 3236.81734332 85.31620000 0.94323065 89.49769738 2.74918915 0.83622248
0.04326797 0.00187212 140.77262129 7249.87978966 85.31620000 0.89719016 89.63483270 2.46506736 1.53829948
0.05375298 0.00288938 113.39762640 3789.55404634 85.31620000 0.92608058 89.53207929 2.88979927 1.11688684
0.04582352 0.00209979 109.05897674 3371.01331948 85.31620000 0.94767952 89.50211600 2.64356125 0.66434242
0.04481315 0.00200822 118.02645475 4272.81706203 85.31620000 0.93306659 89.54703939 2.59624255 1.12863249
0.04481315 0.00200822 118.02645475 4272.81706203 85.31620000 0.93306659 89.54703939 2.59624255 1.12863249
0.05326521 0.00283718 142.15229702 7465.13830514 85.31620000 0.90272728 89.63614509 2.48802860 1.30807954
0.04337389 0.00188129 105.08183954 3015.49917112 85.31620000 0.95205444 89.48088606 2.64779244 0.57941207
0.04370120 0.00190979 111.05972027 3559.96672563 85.31620000 0.94465996 89.51264345 2.60440682 0.87295795
0.06644992 0.00441559 121.35502508 4644.61270676 85.31620000 0.91882137 89.56618946 2.90766326 0.88714409
0.05079533 0.00258017 115.54236447 4008.66685466 85.31620000 0.94630879 89.53073398 2.57690175 0.41794562
