# Transit observable posteriors (photo-ring pipeline, step 1)
# Derived from a TTV-fit MCMC posterior via asterodensity profiling (Zuluaga+2015 Eq.1-4)
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.07115732 0.00506336 63.11791772 2332.80620388 45.15535633 0.24263884 89.77974216 5.70237875 4.90038374
0.07129205 0.00508256 64.32934908 2469.72241655 45.15535633 0.21201770 89.81116331 5.63137960 4.84880255
0.07147253 0.00510832 61.88656518 2198.92192851 45.15535633 0.29095799 89.73062447 5.74839820 4.91525248
0.07097448 0.00503738 64.38088313 2475.66263495 45.15535633 0.12413983 89.88952166 5.70001604 4.93338158
0.07049924 0.00497014 64.93680860 2540.34964385 45.15535633 0.04037884 89.96437248 5.68298648 4.93326177
0.07054668 0.00497683 64.61313748 2502.55230180 45.15535633 0.05488208 89.95133324 5.70826273 4.95374950
0.07088876 0.00502522 63.97302386 2428.90937232 45.15535633 0.20927110 89.81257143 5.66350118 4.88149317
0.07026687 0.00493743 63.83073424 2412.73816034 45.15535633 0.16729187 89.84983520 5.71324596 4.94274965
0.07059304 0.00498338 64.63911654 2505.57212514 45.15535633 0.10889953 89.90347197 5.68409658 4.92600274
0.07080687 0.00501361 64.57350755 2497.95036614 45.15535633 0.09283759 89.91762560 5.69913875 4.93922713
0.07111140 0.00505683 62.88757005 2307.35870134 45.15535633 0.24704355 89.77492231 5.71733685 4.91199408
0.07154022 0.00511800 65.19886616 2571.22926466 45.15535633 0.05100624 89.95517649 5.66325529 4.90514804
0.07092203 0.00502993 64.12814816 2446.62139578 45.15535633 0.18658636 89.83329277 5.67292934 4.89610714
0.07125095 0.00507670 60.46686070 2051.03436817 45.15535633 0.34394354 89.67409224 5.78825553 4.92200978
0.07078826 0.00501098 64.69852794 2512.48727621 45.15535633 0.11175278 89.90103382 5.67834731 4.91861183
0.07168663 0.00513897 59.52881785 1957.05236989 45.15535633 0.39521841 89.61960419 5.77295177 4.86784616
0.07041282 0.00495797 64.39010903 2476.72708806 45.15535633 0.12645069 89.88748124 5.69471044 4.93402734
0.07010076 0.00491412 64.02568176 2434.91221035 45.15535633 0.11810373 89.89431039 5.73060581 4.96977554
0.07043100 0.00496053 64.61956654 2503.29939394 45.15535633 0.15125446 89.86588815 5.65726374 4.89640498
0.07082844 0.00501667 63.33666630 2357.14486950 45.15535633 0.24178310 89.78127702 5.68192497 4.88657186
0.07115217 0.00506263 65.30691136 2584.03330347 45.15535633 0.01839635 89.98386032 5.65741576 4.90552541
0.07065426 0.00499203 64.87298753 2532.86689850 45.15535633 0.10820964 89.90442927 5.66430428 4.90834653
0.07281292 0.00530172 57.83255708 1794.47684278 45.15535633 0.46853187 89.53581177 5.75707715 4.77274804
0.07102735 0.00504488 64.53938752 2493.99277827 45.15535633 0.15091319 89.86602450 5.66777267 4.89955809
0.07051940 0.00497299 65.38542714 2593.36453998 45.15535633 0.00196593 89.99827730 5.64810671 4.90392322
0.06994021 0.00489163 64.08882733 2442.12364199 45.15535633 0.08423979 89.92468912 5.74140238 4.98569736
0.07149191 0.00511109 63.41641532 2366.05993228 45.15535633 0.22388158 89.79772593 5.70015999 4.90191126
0.07202024 0.00518691 62.38588183 2252.57690695 45.15535633 0.30401715 89.72078669 5.68467626 4.84828200
0.07069394 0.00499763 61.97403873 2208.25931143 45.15535633 0.26777472 89.75243813 5.77065596 4.95355243
0.07023358 0.00493276 62.99043910 2318.70009662 45.15535633 0.21546081 89.80401758 5.74133397 4.95337648
0.07129483 0.00508295 63.14522136 2335.83489887 45.15535633 0.25215038 89.77120690 5.68835282 4.88312672
0.07076798 0.00500811 63.15145839 2336.52711796 45.15535633 0.19300774 89.82488851 5.75350348 4.96537640
0.07056905 0.00497999 63.92920168 2423.92130698 45.15535633 0.16693988 89.85038196 5.70639647 4.93382526
0.07159070 0.00512523 61.30767913 2137.79127388 45.15535633 0.32161478 89.69942992 5.75192367 4.90068021
0.07267554 0.00528173 57.04169019 1721.85996905 45.15535633 0.49659111 89.50119055 5.75050881 4.73646931
0.07110389 0.00505576 65.73920610 2635.68823351 45.15535633 0.08137664 89.92907521 5.60454278 4.85573553
0.07010794 0.00491512 64.24761960 2460.32113410 45.15535633 0.12743467 89.88635418 5.70506157 4.94589547
0.07179798 0.00515495 62.14549902 2226.63848859 45.15535633 0.32409984 89.70119095 5.67121872 4.82826126
0.07063046 0.00498866 63.74107281 2402.58509654 45.15535633 0.12431224 89.88825775 5.75525258 4.98465776
0.07113449 0.00506012 64.76466392 2520.20008143 45.15535633 0.05952211 89.94734218 5.69672007 4.93749726
0.07102882 0.00504509 64.71893366 2514.86531854 45.15535633 0.17279473 89.84702436 5.63422649 4.86532073
0.07012785 0.00491792 64.34576891 2471.61406241 45.15535633 0.12543019 89.88831239 5.69774453 4.93971762
0.07174259 0.00514700 61.39060241 2146.47758534 45.15535633 0.33131662 89.69078108 5.72761542 4.87266989
0.07102529 0.00504459 63.15991853 2337.46628869 45.15535633 0.24298274 89.77957667 5.69740875 4.89736329
0.07099435 0.00504020 61.75178220 2184.58607574 45.15535633 0.30433271 89.71762677 5.73655679 4.90352636
0.07122913 0.00507359 62.74587536 2291.79738820 45.15535633 0.25782231 89.76457143 5.71654732 4.90568098
0.07080021 0.00501267 64.00649782 2432.72415700 45.15535633 0.13645570 89.87785082 5.72427757 4.95378795
0.07181734 0.00515773 61.59492605 2167.98107688 45.15535633 0.30037594 89.72058832 5.76248996 4.91876988
0.07173249 0.00514555 61.17881191 2124.33883711 45.15535633 0.33797261 89.68347698 5.73505192 4.87509674
0.07210116 0.00519858 60.70624172 2075.49032540 45.15535633 0.37743429 89.64376758 5.70253793 4.81709447
0.07064296 0.00499043 64.52495812 2492.32036850 45.15535633 0.01902989 89.98310216 5.72319981 4.96763259
0.07126175 0.00507824 62.38537000 2252.52146554 45.15535633 0.27154364 89.75060894 5.73042693 4.91128682
0.06999388 0.00489914 63.70855139 2398.90949401 45.15535633 0.21112629 89.81012490 5.68006051 4.90440243
0.07067244 0.00499459 64.80399845 2524.79476864 45.15535633 0.05153704 89.95443406 5.69300547 4.93950912
0.06991046 0.00488747 63.80348881 2409.64992863 45.15535633 0.09613496 89.91367040 5.76147993 5.00189208
0.06987820 0.00488296 64.00795335 2432.89012407 45.15535633 0.13781333 89.87663832 5.71819124 4.95760870
0.07010345 0.00491449 63.46707158 2371.73440173 45.15535633 0.17502569 89.84199293 5.73827618 4.96410558
0.07068706 0.00499666 64.73954810 2517.26920858 45.15535633 0.07517772 89.93346622 5.69128495 4.93574093
0.07156281 0.00512124 60.00353572 2004.24680000 45.15535633 0.38797320 89.62953213 5.74285796 4.84949163
0.07109649 0.00505471 64.20287128 2455.18388960 45.15535633 0.18835497 89.83190845 5.66558917 4.88749344
0.07110207 0.00505550 64.69655935 2512.25793983 45.15535633 0.00763627 89.99323726 5.71122305 4.95287883
0.07067954 0.00499560 63.97102446 2428.68164128 45.15535633 0.22282358 89.80042720 5.64747284 4.86533649
0.07159921 0.00512645 58.62415195 1869.17684588 45.15535633 0.41693655 89.59250743 5.80916889 4.88138182
0.07129269 0.00508265 64.42323607 2480.55169080 45.15535633 0.16808037 89.85051501 5.66558897 4.89092797
0.07094936 0.00503381 59.85286942 1989.18694502 45.15535633 0.37997042 89.63626059 5.77123534 4.88652541
0.07072429 0.00500193 64.56691855 2497.18578183 45.15535633 0.00672963 89.99402822 5.72070521 4.96488021
0.07092165 0.00502988 64.66637489 2508.74326618 45.15535633 0.02522963 89.97764602 5.71148641 4.95449326
0.07088571 0.00502478 63.56608189 2382.85163194 45.15535633 0.24044232 89.78327494 5.66341653 4.87056749
0.07195838 0.00517801 62.96266306 2315.63411126 45.15535633 0.25789197 89.76531865 5.70088487 4.88451886
0.07146303 0.00510696 64.52431650 2492.24601953 45.15535633 0.16658132 89.85208030 5.65890185 4.88380763
0.07103586 0.00504609 64.66273041 2508.31912489 45.15535633 0.10763149 89.90463080 5.68508282 4.92261848
0.07090335 0.00502729 63.82086934 2411.61968213 45.15535633 0.22153364 89.80111571 5.66347685 4.87725510
0.07229138 0.00522604 61.00828848 2106.62482302 45.15535633 0.37932391 89.64375662 5.67142187 4.78729292
0.06945326 0.00482376 64.56020110 2496.40645131 45.15535633 0.01029918 89.99085970 5.71435616 4.97201466
0.07052991 0.00497447 62.38616404 2252.60747674 45.15535633 0.23218030 89.78676390 5.77885998 4.97673834
0.07132065 0.00508664 59.72749652 1976.71295139 45.15535633 0.37013323 89.64493393 5.80687686 4.91951346
0.06986125 0.00488059 64.17709322 2452.22773818 45.15535633 0.10229484 89.90867357 5.72458756 4.96948592
0.07140351 0.00509846 62.11577193 2223.44470149 45.15535633 0.32115085 89.70376815 5.67680551 4.83897773
0.07023381 0.00493279 65.20633232 2572.11268827 45.15535633 0.05066249 89.95548366 5.65577311 4.91160841
0.07143004 0.00510225 63.79261851 2408.41853044 45.15535633 0.24376200 89.78106295 5.64216035 4.84537472
0.07146532 0.00510729 63.41221095 2365.58936927 45.15535633 0.24677572 89.77702650 5.67235337 4.86975576
0.07116191 0.00506402 63.06500421 2326.94415060 45.15535633 0.20998312 89.80922591 5.74580014 4.94934733
0.07150706 0.00511326 60.65490891 2070.22971144 45.15535633 0.35824819 89.66158998 5.74363416 4.87195132
0.07137876 0.00509493 65.28624241 2581.58062206 45.15535633 0.05834483 89.94879606 5.65283973 4.89715048
0.07001826 0.00490256 64.46380139 2485.24042206 45.15535633 0.05907583 89.94749307 5.71745926 4.96668160
0.07030248 0.00494244 64.76124457 2519.80092934 45.15535633 0.08616053 89.92377176 5.68290284 4.93104776
0.07028184 0.00493954 62.92255100 2311.21121949 45.15535633 0.20254744 89.81556479 5.76189381 4.97478109
0.07115427 0.00506293 65.46139147 2602.41390278 45.15535633 0.02515829 89.97797994 5.64335042 4.89310155
0.07062453 0.00498782 63.31197840 2354.38957994 45.15535633 0.23697834 89.78553995 5.68900485 4.89660613
0.07141867 0.00510063 64.94680433 2541.52293286 45.15535633 0.10733957 89.90530547 5.66241449 4.89921907
0.06974862 0.00486487 64.79359037 2523.57845203 45.15535633 0.01553521 89.98626250 5.69500714 4.95214416
0.07110164 0.00505544 63.19153574 2340.97838108 45.15535633 0.25980784 89.76443151 5.67281099 4.86866088
0.07075695 0.00500655 65.57093737 2615.50075201 45.15535633 0.00654519 89.99428082 5.63328009 4.88868817
0.07166296 0.00513558 64.37843027 2475.37968385 45.15535633 0.21116453 89.81206659 5.63003439 4.84413400
0.07014982 0.00492100 63.12376775 2333.45490539 45.15535633 0.20743438 89.81171695 5.73757863 4.95362573
0.07042148 0.00495918 64.29356187 2465.60289819 45.15535633 0.11896261 89.89398535 5.70794511 4.94673998
0.07081479 0.00501474 64.44771661 2483.38056124 45.15535633 0.13548760 89.87954774 5.68582656 4.92055863
0.07141444 0.00510002 64.77357072 2521.24000110 45.15535633 0.08327380 89.92633973 5.68898253 4.92556952
0.07059533 0.00498370 64.47241229 2486.23647014 45.15535633 0.10154044 89.90976232 5.70269563 4.94321447
0.07138841 0.00509630 62.30261573 2243.56943317 45.15535633 0.27341279 89.74855872 5.73604318 4.91390117
0.07040663 0.00495709 63.55138414 2381.19912482 45.15535633 0.17484586 89.84236469 5.73249259 4.95603048
0.07086983 0.00502253 62.53916281 2269.22135690 45.15535633 0.26765412 89.75478568 5.71967863 4.90797351
0.06963681 0.00484928 64.46844084 2485.77704778 45.15535633 0.03584700 89.96814128 5.72052337 4.97471845
0.07078958 0.00501116 64.40550410 2478.50399922 45.15535633 0.14650982 89.86966329 5.68157630 4.91485806
0.07169633 0.00514036 65.78249367 2640.89826105 45.15535633 0.04811192 89.95809508 5.61452812 4.86161770
0.07086009 0.00502115 61.36896735 2144.20902317 45.15535633 0.33199637 89.69003742 5.72317330 4.87823857
0.07109230 0.00505412 63.50848023 2376.37969596 45.15535633 0.23626034 89.78685127 5.67488970 4.87985351
0.07097013 0.00503676 63.18514852 2340.26859523 45.15535633 0.23131964 89.79024076 5.70928149 4.91252960
0.07041754 0.00495863 64.85655912 2530.94311911 45.15535633 0.09586065 89.91531446 5.67076236 4.91811063
0.07109452 0.00505443 65.05821170 2554.62428736 45.15535633 0.12626130 89.88880352 5.63998410 4.87984368
0.07112568 0.00505886 64.37675475 2475.18641500 45.15535633 0.15817682 89.85922134 5.67695021 4.90483575
0.07179064 0.00515390 64.57141312 2497.70731210 45.15535633 0.14811178 89.86857672 5.67118879 4.89543710
0.07124550 0.00507592 63.45418631 2370.29014585 45.15535633 0.24113295 89.78226916 5.67454599 4.87612403
0.07186741 0.00516492 62.98101708 2317.65976852 45.15535633 0.27904627 89.74614214 5.66873547 4.84860244
0.07023599 0.00493309 63.26822160 2349.51138559 45.15535633 0.20948414 89.81029056 5.72273719 4.93926171
0.07025581 0.00493588 64.89112462 2534.99189693 45.15535633 0.03026258 89.97327958 5.68746810 4.94007480
0.07082402 0.00501604 61.93934320 2204.55257337 45.15535633 0.27781279 89.74301384 5.75991097 4.93840232
0.07121464 0.00507153 62.61062724 2277.00946903 45.15535633 0.27153687 89.75151239 5.70954945 4.89389857
0.07118104 0.00506674 61.64897789 2173.69353951 45.15535633 0.31719127 89.70520515 5.72540415 4.88505435
0.07001031 0.00490144 63.39652516 2363.83433072 45.15535633 0.16989032 89.84645830 5.74871122 4.97541884
0.07106653 0.00505045 60.70998460 2075.87424599 45.15535633 0.35059570 89.66911925 5.75101228 4.88819102
0.07054091 0.00497602 64.71581626 2514.50192570 45.15535633 0.09472466 89.91613603 5.68429760 4.92877005
0.07094471 0.00503315 62.82146049 2300.08962515 45.15535633 0.27573616 89.74851637 5.68275987 4.87191680
0.07067495 0.00499495 64.58727881 2499.54888232 45.15535633 0.08304620 89.92632917 5.70152560 4.94385272
0.07069612 0.00499794 62.23093794 2235.83480672 45.15535633 0.28854101 89.73434048 5.71587729 4.89697863
0.07196748 0.00517932 60.61848903 2066.50277949 45.15535633 0.36546407 89.65456619 5.73514170 4.85465193
0.07055705 0.00497830 64.72827931 2515.95494381 45.15535633 0.01595652 89.98587571 5.70503036 4.95279376
0.07061647 0.00498669 64.99887071 2547.64027881 45.15535633 0.08389237 89.92604979 5.66475603 4.91245138
0.07016343 0.00492291 64.28845695 2465.01563732 45.15535633 0.15975968 89.85761729 5.67825109 4.91533954
0.07130672 0.00508465 64.28690662 2464.83730816 45.15535633 0.18443096 89.83562547 5.66304829 4.88426532
0.07127504 0.00508013 64.98217535 2545.67765190 45.15535633 0.13988848 89.87665809 5.63849390 4.87411379
0.07047028 0.00496606 64.46923602 2485.86903084 45.15535633 0.07973815 89.92913425 5.71221697 4.95556096
0.07047541 0.00496678 64.16633515 2450.99473748 45.15535633 0.11630241 89.89615052 5.72113643 4.95808084
0.07147230 0.00510829 65.64300611 2624.13429162 45.15535633 0.07806374 89.93186291 5.61599764 4.86240854
0.07140841 0.00509916 62.08497195 2220.13886977 45.15535633 0.30138026 89.72186692 5.71300056 4.88043231
0.06998125 0.00489737 64.63881485 2505.53704256 45.15535633 0.00592438 89.99474864 5.71040096 4.96335270
0.07098008 0.00503817 62.89773675 2308.47793678 45.15535633 0.24924958 89.77294912 5.71279093 4.90859404
0.07039025 0.00495479 64.14773984 2448.86447069 45.15535633 0.13605937 89.87847376 5.70972297 4.94542455
0.07061783 0.00498688 64.96158067 2543.25802792 45.15535633 0.07606456 89.93291144 5.67112888 4.91885431
0.07031184 0.00494376 64.78155089 2522.17197438 45.15535633 0.01513689 89.98661224 5.69909589 4.95009970
0.07085733 0.00502076 64.24048586 2459.50167967 45.15535633 0.09547914 89.91484258 5.72770587 4.96311672
0.06954390 0.00483635 64.48006044 2487.12137714 45.15535633 0.04377715 89.96110044 5.71741492 4.97250260
0.07150592 0.00511310 60.04681864 2008.58715569 45.15535633 0.36548863 89.65125404 5.78687740 4.90369951
0.07097824 0.00503791 65.26265665 2578.78371331 45.15535633 0.00304986 89.99732245 5.66114493 4.91070800
0.07276693 0.00529503 57.66541010 1778.96264059 45.15535633 0.46044549 89.54250107 5.79669489 4.81490017
0.07155372 0.00511993 65.19107200 2570.30724618 45.15535633 0.07876839 89.93077124 5.65509229 4.89537084
0.07049876 0.00497008 64.36408004 2473.72473366 45.15535633 0.16236916 89.85546166 5.67126857 4.90527898
0.07023316 0.00493270 64.82676054 2527.45616826 45.15535633 0.03623737 89.96797235 5.69200676 4.94396298
0.07060653 0.00498528 63.88648255 2419.06537402 45.15535633 0.18954747 89.83000651 5.68980773 4.91306496
0.07086787 0.00502225 60.97920653 2103.61364677 45.15535633 0.33408522 89.68609350 5.75593856 4.90483801
0.07025974 0.00493643 61.62735440 2171.40706036 45.15535633 0.28651274 89.73362430 5.77249467 4.95120596
0.07194473 0.00517604 62.05196434 2216.59972692 45.15535633 0.30708933 89.71644742 5.70975432 4.86886394
0.07102707 0.00504484 64.48256118 2487.41076374 45.15535633 0.14965268 89.86702646 5.67372202 4.90498305
