cos_i_ring,theta_ring_deg,p_true,b_true,PR
0.740125,45.75,0.06059733358612068,0.6151930289817086,-1.3880633236285578
0.740125,46.5,0.06059733358612068,0.615658548680874,-1.3819043511524922
0.7525000000000001,45.75,0.06043719183968501,0.6130379547810465,-1.4166693927575313
0.7525000000000001,46.5,0.06043719183968501,0.6134911149901552,-1.4107208410449688
0.7525000000000001,47.25,0.06043719183968501,0.6139335873519443,-1.40490630398192
0.7525000000000001,48.0,0.06043719183968501,0.6143652067665228,-1.3992286304964587
0.7525000000000001,48.75,0.06043719183968501,0.6147858354889252,-1.3936902976898162
0.7525000000000001,49.5,0.06043719183968501,0.6151953624508846,-1.3882934159876736
0.7525000000000001,50.25,0.06043719183968501,0.6155937025206235,-1.3830397355167405
0.7648750000000001,49.5,0.060281455734149086,0.6129558397038404,-1.4179868520331416
0.7648750000000001,50.25,0.060281455734149086,0.6133458477913523,-1.4128833377527392
0.7648750000000001,51.0,0.060281455734149086,0.6137255260944174,-1.4079111722154103
0.7648750000000001,51.75,0.060281455734149086,0.614094817368157,-1.403071624292824
0.7648750000000001,52.5,0.060281455734149086,0.614453685766875,-1.3983656621270004
0.7648750000000001,53.25,0.060281455734149086,0.6148021160235166,-1.3937939618850517
0.7648750000000001,54.0,0.060281455734149086,0.6151401125900596,-1.389356917294666
0.7648750000000001,54.75,0.060281455734149086,0.6154676987442919,-1.3850546498939993
0.7648750000000001,55.5,0.060281455734149086,0.6157849156677707,-1.3808870199277083
0.77725,54.75,0.060129952025442523,0.6131475452870934,-1.4158003257623175
0.77725,55.5,0.060129952025442523,0.6134610783584358,-1.411712252909988
0.77725,56.25,0.060129952025442523,0.6137650150241253,-1.4077477568043135
0.77725,57.0,0.060129952025442523,0.6140594004108101,-1.4039065718142705
0.77725,57.75,0.060129952025442523,0.6143442936903222,-1.4001882260429424
0.77725,58.5,0.060129952025442523,0.6146197672171543,-1.3965920521889683
0.77725,59.25,0.060129952025442523,0.6148859056571465,-1.3931171987096596
0.77725,60.0,0.060129952025442523,0.6151428051108766,-1.3897626412297714
0.77725,60.75,0.060129952025442523,0.6153905722350623,-1.3865271941416792
0.77725,61.5,0.060129952025442523,0.6156293233651153,-1.3834095223442122
0.77725,62.25,0.060129952025442523,0.6158591836418091,-1.3804081530692889
0.789625,60.75,0.059982516085900085,0.613008075904347,-1.4180320429861506
0.789625,61.5,0.059982516085900085,0.613246674249434,-1.414938063351959
0.789625,62.25,0.059982516085900085,0.6134768507698658,-1.4119530925566242
0.789625,63.0,0.059982516085900085,0.6136987078247516,-1.4090759493524387
0.789625,63.75,0.059982516085900085,0.613912354744772,-1.4063053437968243
0.789625,64.5,0.059982516085900085,0.6141179070820777,-1.4036398875093326
0.789625,65.25,0.059982516085900085,0.614315485870166,-1.4010781038860267
0.789625,66.0,0.059982516085900085,0.6145052168955812,-1.3986184382372064
0.789625,66.75,0.059982516085900085,0.6146872299831512,-1.3962592678169163
0.789625,67.5,0.059982516085900085,0.6148616582962917,-1.3939989117146352
0.789625,68.25,0.059982516085900085,0.6150286376537301,-1.3918356405817973
0.789625,69.0,0.059982516085900085,0.6151883058642041,-1.3897676861689388
0.789625,69.75,0.059982516085900085,0.6153408020792676,-1.387793250649165
0.789625,70.5,0.059982516085900085,0.6154862661667708,-1.385910515710023
0.789625,71.25,0.059982516085900085,0.6156248381042326,-1.384117651393071
0.789625,72.0,0.059982516085900085,0.61575665739375,-1.3824128246663436
0.789625,72.75,0.059982516085900085,0.6158818624987402,-1.3807942077151723
0.802,69.75,0.059838991400279685,0.6129139492926138,-1.4197979979461595
0.802,70.5,0.059838991400279685,0.6130617461804526,-1.4178958388997074
0.802,71.25,0.059838991400279685,0.613202794064022,-1.4160809092491378
0.802,72.0,0.059838991400279685,0.6133372072728825,-1.4143517368785206
0.802,72.75,0.059838991400279685,0.6134650997598545,-1.412706846756588
0.802,73.5,0.059838991400279685,0.6135865846075168,-1.4111447680975426
0.802,74.25,0.059838991400279685,0.6137017735534125,-1.4096640412696528
0.802,75.0,0.059838991400279685,0.613810776535249,-1.4082632244431386
0.802,75.75,0.059838991400279685,0.6139137012561316,-1.406940899968272
0.802,76.5,0.059838991400279685,0.6140106527700969,-1.405695680476592
0.802,77.25,0.059838991400279685,0.6141017330881536,-1.4045262146989672
0.802,78.0,0.059838991400279685,0.6141870408049501,-1.4034311929955279
0.802,78.75,0.059838991400279685,0.6142666707461537,-1.4024093525933132
0.802,79.5,0.059838991400279685,0.6143407136365812,-1.401459482528413
0.802,80.25,0.059838991400279685,0.6144092557890692,-1.4005804282901804
0.802,81.0,0.059838991400279685,0.6144723788140675,-1.3997710961655927
0.802,81.75,0.059838991400279685,0.6145301593498878,-1.3990304572827177
0.802,82.5,0.059838991400279685,0.6145826688135356,-1.3983575513525317
