# rho_grid_gcc rho_cdf
7.587233676655757986e-01 4.366286361431470105e-06
7.588225466145108733e-01 4.399619130787881168e-06
7.589217255634460590e-01 4.432955600091834080e-06
7.590209045123812448e-01 4.466295507214711653e-06
7.591200834613164306e-01 4.499638592022157851e-06
7.592192624102516163e-01 4.532984596395171442e-06
7.593184413591868021e-01 4.566333264251102258e-06
7.594176203081219878e-01 4.599684341564550036e-06
7.595167992570571736e-01 4.633037576388148066e-06
7.596159782059922483e-01 4.666392718873176584e-06
7.597151571549274340e-01 4.699749521290260870e-06
7.598143361038626198e-01 4.733107738049564513e-06
7.599135150527978055e-01 4.766467125721231705e-06
7.600126940017329913e-01 4.799827443055530530e-06
7.601118729506681770e-01 4.833188451002886988e-06
7.602110518996033628e-01 4.866549912733813987e-06
7.603102308485385485e-01 4.899911593658684480e-06
7.604094097974736233e-01 4.933273261447362297e-06
7.605085887464088090e-01 4.966634686048866869e-06
7.606077676953439948e-01 4.999995639710531412e-06
7.607069466442791805e-01 5.033355896997403374e-06
7.608061255932143663e-01 5.066715234811318769e-06
7.609053045421495520e-01 5.100073432409874018e-06
7.610044834910847378e-01 5.133430271425237711e-06
7.611036624400198125e-01 5.166785535882818357e-06
7.612028413889549983e-01 5.200139012219931303e-06
7.613020203378901840e-01 5.233490489303973517e-06
7.614011992868253698e-01 5.266839758450814367e-06
7.615003782357605555e-01 5.300186613442846743e-06
7.615995571846957413e-01 5.333530850546921281e-06
7.616987361336309270e-01 5.366872268532134906e-06
7.617979150825661128e-01 5.400210668687455892e-06
7.618970940315011875e-01 5.433545854839161730e-06
7.619962729804363732e-01 5.466877633368296474e-06
7.620954519293715590e-01 5.500205813227593618e-06
7.621946308783067447e-01 5.533530205958633589e-06
7.622938098272419305e-01 5.566850625708613311e-06
7.623929887761771163e-01 5.600166889247012420e-06
7.624921677251123020e-01 5.633478815982094316e-06
7.625913466740474878e-01 5.666786227977230184e-06
7.626905256229825625e-01 5.700088949967010402e-06
7.627897045719177482e-01 5.733386809373394922e-06
7.628888835208529340e-01 5.766679636321283430e-06
7.629880624697881197e-01 5.799967263654320133e-06
7.630872414187233055e-01 5.833249526950308908e-06
7.631864203676584912e-01 5.866526264536503949e-06
7.632855993165936770e-01 5.899797317504719978e-06
7.633847782655288627e-01 5.933062529726250198e-06
7.634839572144639375e-01 5.966321747866587718e-06
7.635831361633991232e-01 5.999574821400124124e-06
7.636823151123343090e-01 6.032821602624315249e-06
7.637814940612694947e-01 6.066061946674024835e-06
7.638806730102046805e-01 6.099295711535488718e-06
7.639798519591398662e-01 6.132522758060134168e-06
7.640790309080750520e-01 6.165742949978206955e-06
7.641782098570102377e-01 6.198956153912216305e-06
7.642773888059453125e-01 6.232162239390140144e-06
7.643765677548804982e-01 6.265361078858621868e-06
7.644757467038156840e-01 6.298552547695610619e-06
7.645749256527508697e-01 6.331736524223167574e-06
7.646741046016860555e-01 6.364912889719900390e-06
7.647732835506212412e-01 6.398081528433216383e-06
7.648724624995564270e-01 6.431242327591402910e-06
7.649716414484915017e-01 6.464395177415444326e-06
7.650708203974266874e-01 6.497539971130835555e-06
7.651699993463618732e-01 6.530676604978827297e-06
7.652691782952970589e-01 6.563804978227822009e-06
7.653683572442322447e-01 6.596924993184387877e-06
7.654675361931674304e-01 6.630036555204096598e-06
7.655667151421026162e-01 6.663139572702186684e-06
7.656658940910378019e-01 6.696233957163940456e-06
7.657650730399728767e-01 6.729319623154913668e-06
7.658642519889080624e-01 6.762396488331056696e-06
7.659634309378432482e-01 6.795464473448304651e-06
7.660626098867784339e-01 6.828523502372299622e-06
7.661617888357136197e-01 6.861573502087708034e-06
7.662609677846488054e-01 6.894614402707402493e-06
7.663601467335839912e-01 6.927646137481366635e-06
7.664593256825191769e-01 6.960668642805431430e-06
7.665585046314542517e-01 6.993681858229737885e-06
7.666576835803894374e-01 7.026685726467163331e-06
7.667568625293246232e-01 7.059680193401165791e-06
7.668560414782598089e-01 7.092665208093764725e-06
7.669552204271949947e-01 7.125640722793146542e-06
7.670543993761301804e-01 7.158606692941032092e-06
